,name,experiment,rmsd
13,seed-666_sample-3,split_andre,0.0
10,seed-666_sample-0,split_andre,0.5906809568317196
14,seed-666_sample-4,split_andre,0.605082099961011
16,seed-888_sample-1,split_andre,0.6528746781113224
23,seed-314159_sample-3,split_andre,0.7098279494709832
18,seed-888_sample-3,split_andre,0.7122748277372875
11,seed-666_sample-1,split_andre,0.7523087764859296
24,seed-314159_sample-4,split_andre,0.7997854575050025
22,seed-314159_sample-2,split_andre,0.8219643083842789
15,seed-888_sample-0,split_andre,0.8250808244783072
7,seed-123_sample-2,split_andre,0.8253767493349043
12,seed-666_sample-2,split_andre,0.844112136932502
1,seed-0_sample-1,split_andre,0.9141416927855281
21,seed-314159_sample-1,split_andre,0.9260742992215985
54,seed-0_sample-4,fusion,0.9294856148521073
6,seed-123_sample-1,split_andre,0.9348867842405124
20,seed-314159_sample-0,split_andre,0.9411542630986087
4,seed-0_sample-4,split_andre,0.9432211489442514
50,seed-0_sample-0,fusion,0.9445545912141358
53,seed-0_sample-3,fusion,0.965687233044252
52,seed-0_sample-2,fusion,0.9715052879026403
51,seed-0_sample-1,fusion,1.0127783519286049
38,seed-666_sample-3,split_full,1.8956279173992727
44,seed-888_sample-4,split_full,1.9551317196384745
25,seed-0_sample-0,split_full,2.0955308511300403
26,seed-0_sample-1,split_full,2.110146590692073
32,seed-123_sample-2,split_full,2.138690630854058
28,seed-0_sample-3,split_full,2.1690134088114004
35,seed-666_sample-0,split_full,2.1957289384375183
39,seed-666_sample-4,split_full,2.240622188675931
48,seed-314159_sample-3,split_full,2.242413886949641
45,seed-314159_sample-0,split_full,2.243920194971446
37,seed-666_sample-2,split_full,2.2683924151391825
41,seed-888_sample-1,split_full,2.3143527058875932
33,seed-123_sample-3,split_full,2.3764068717230513
36,seed-666_sample-1,split_full,2.3885979803075705
34,seed-123_sample-4,split_full,2.50644279402377
40,seed-888_sample-0,split_full,2.5087666291705197
43,seed-888_sample-3,split_full,2.593604692112157
27,seed-0_sample-2,split_full,2.629653800201271
49,seed-314159_sample-4,split_full,2.7544472804116635
46,seed-314159_sample-1,split_full,7.060843789650946
9,seed-123_sample-4,split_andre,7.939412162337767
5,seed-123_sample-0,split_andre,8.007513497963135
19,seed-888_sample-4,split_andre,8.06612586073733
0,seed-0_sample-0,split_andre,8.116699472236972
17,seed-888_sample-2,split_andre,8.185841440237304
3,seed-0_sample-3,split_andre,8.22062532775764
2,seed-0_sample-2,split_andre,8.232484412168969
31,seed-123_sample-1,split_full,8.503772416045026
42,seed-888_sample-2,split_full,9.211194521293606
29,seed-0_sample-4,split_full,9.827699146511424
47,seed-314159_sample-2,split_full,10.265332439831683
30,seed-123_sample-0,split_full,12.618721412506705
8,seed-123_sample-3,split_andre,13.098876406639517
